NAME,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME
Reed College,Liberal Arts,"$40,500.00","$81,100.00",,"$67,400.00","$101,000.00",,3203 SE Woodstock Blvd,OR,97202,private non-profit,Multnomah,45.480959,-122.630348,61,1394,1455,506,"Colleges, Universities, and Professional Schools",2.875494071146245,"59,888"
Gustavus Adolphus College,Liberal Arts,"$44,500.00","$80,600.00",,"$49,300.00","$101,000.00",,800 West College Avenue,MN,56082,private non-profit,Nicollet,44.324968,-93.971928,42,2482,2524,699,"Colleges, Universities, and Professional Schools",3.6108726752503575,"68,026"
Whitman College,Liberal Arts,"$43,500.00","$80,100.00",,"$64,800.00","$111,000.00",,345 Boyer Ave,WA,99362,private non-profit,Walla Walla,46.071488,-118.329714,31,1508,1539,575,"Colleges, Universities, and Professional Schools",2.676521739130435,"63,190"
Ursinus College,Liberal Arts,"$42,100.00","$80,000.00","$35,600.00","$54,300.00","$100,000.00","$160,000.00",601 E. Main St,PA,19426,private non-profit,Montgomery,40.194236,-75.458029,29,1651,1680,433,"Colleges, Universities, and Professional Schools",3.879907621247113,"57,812"
Juniata College,Liberal Arts,"$41,800.00","$78,900.00",,"$67,200.00","$110,000.00",,1700 Moore St,PA,16652,private non-profit,Huntingdon,40.499493,-78.015158,58,1507,1565,462,"Colleges, Universities, and Professional Schools",3.3874458874458875,"57,812"
Wittenberg University,Liberal Arts,"$39,200.00","$78,200.00",,"$54,100.00","$131,000.00",,Ward St at N Wittenberg Ave,OH,45504,private non-profit,Clark,39.934794,-83.813911,110,1784,1894,469,"Colleges, Universities, and Professional Schools",4.038379530916845,"51,501"
Grinnell College,Liberal Arts,"$42,600.00","$76,600.00",,"$65,100.00","$116,000.00",,1121 Park Street,IA,50112,private non-profit,Poweshiek,41.746363,-92.721432,59,1615,1674,709,"Colleges, Universities, and Professional Schools",2.361071932299013,"59,366"
Skidmore College,Liberal Arts,"$41,600.00","$74,600.00",,"$42,800.00","$147,000.00",,815 N Broadway,NY,12866,private non-profit,Saratoga,43.097027,-73.785322,68,2621,2689,993,"Colleges, Universities, and Professional Schools",2.7079556898288017,"56,189"
Moravian College,Liberal Arts,"$42,500.00","$74,400.00",,"$56,700.00","$94,900.00",,1200 Main St,PA,18018,private non-profit,Northampton,40.630888,-75.380979,359,1516,1875,524,"Colleges, Universities, and Professional Schools",3.5782442748091605,"57,812"
Lewis & Clark College,Liberal Arts,"$38,900.00","$72,600.00","$38,200.00","$53,400.00","$104,000.00","$140,000.00",0615 S W Palatine Hill Rd,OR,97219,private non-profit,Multnomah,45.451539,-122.670336,430,3274,3704,896,"Colleges, Universities, and Professional Schools",4.133928571428571,"59,888"
Fort Lewis College,Liberal Arts,"$42,000.00","$69,800.00",,"$55,000.00","$94,000.00",,1000 Rim Drive,CO,81301,public,La Plata,37.275428,-107.867003,326,3565,3891,604,"Colleges, Universities, and Professional Schools",6.44205298013245,"63,803"
Thomas Aquinas College,Liberal Arts,"$41,500.00","$67,500.00",,"$44,600.00","$93,100.00",,10000 Ojai Rd,CA,93060,private non-profit,Ventura,34.429009,-119.087141,0,370,370,81,"Colleges, Universities, and Professional Schools",4.567901234567901,"62,096"
Evergreen State College,Liberal Arts,"$39,500.00","$63,900.00","$38,800.00","$47,200.00","$91,600.00","$120,000.00",2700 Evergreen Pkwy NW,WA,98505,public,Thurston,47.07382,-122.977492,438,4071,4509,768,"Colleges, Universities, and Professional Schools",5.87109375,"63,190"
Dartmouth College,Ivy League,"$58,000.00","$134,000.00","$63,100.00","$90,200.00","$234,000.00","$321,000.00",207 Parkhurst Hall,NH,3755,private non-profit,Grafton,43.705524,-72.288842,134,6059,6193,4373,"Colleges, Universities, and Professional Schools",1.4161902584038415,"74,579"
Princeton University,Ivy League,"$66,500.00","$131,000.00","$68,900.00","$100,000.00","$190,000.00","$261,000.00",1 Nassau Hall,NJ,8544,private non-profit,Mercer,40.347141,-74.657698,0,7972,7972,5939,"Colleges, Universities, and Professional Schools",1.3423135207947463,"66,838"
Yale University,Ivy League,"$59,100.00","$126,000.00","$58,000.00","$80,600.00","$198,000.00","$326,000.00",Woodbridge Hall,CT,6520,private non-profit,New Haven,41.312308,-72.922511,166,11740,11906,14435,"Colleges, Universities, and Professional Schools",0.8248008313127815,"71,566"
Harvard University,Ivy League,"$63,400.00","$124,000.00","$54,800.00","$86,200.00","$179,000.00","$288,000.00",Massachusetts Hall,MA,2138,private non-profit,Middlesex,42.374172,-71.118234,4556,19273,23829,17141,"Colleges, Universities, and Professional Schools",1.390175602356922,"65,542"
University of Pennsylvania,Ivy League,"$60,900.00","$120,000.00","$55,900.00","$79,200.00","$192,000.00","$282,000.00",34th and Spruce Streets,PA,19104,private non-profit,Philadelphia,39.951002,-75.193618,3282,21441,24723,17030,"Colleges, Universities, and Professional Schools",1.4517322372284205,"57,812"
Cornell University,Ivy League,"$60,300.00","$110,000.00","$56,800.00","$79,800.00","$160,000.00","$210,000.00",300 Day Hall,NY,14853,private non-profit,Tompkins,42.448713,-76.476535,78,21346,21424,10417,"Colleges, Universities, and Professional Schools",2.056638187577997,"56,189"
Brown University,Ivy League,"$56,200.00","$109,000.00","$55,400.00","$74,400.00","$159,000.00","$228,000.00",One Prospect Street,RI,2912,private non-profit,Providence,41.826853,-71.402925,452,8446,8898,4568,"Colleges, Universities, and Professional Schools",1.9478984238178636,"57,201"
Columbia University,Ivy League,"$59,400.00","$107,000.00","$50,300.00","$71,900.00","$161,000.00","$241,000.00",West 116 St and Broadway,NY,10027,private non-profit,New York,40.808286,-73.961885,4323,22162,26485,17328,"Colleges, Universities, and Professional Schools",1.5284510618651892,"56,189"
University of California-Berkeley,State,"$59,900.00","$112,000.00","$59,500.00","$81,000.00","$149,000.00","$201,000.00",200 California Hall,CA,94720,public,Alameda,37.875759,-122.24851,1679,34220,35899,12075,"Colleges, Universities, and Professional Schools",2.973002070393375,"62,096"
University of Virginia,State,"$52,700.00","$103,000.00","$52,200.00","$71,800.00","$146,000.00","$215,000.00",1827 University Avenue,VA,22903,public,Albemarle,38.033977,-78.511845,3196,20915,24111,8515,"Colleges, Universities, and Professional Schools",2.8315913094539047,"63,858"
California Polytechnic State University-San Luis Obispo,State,"$57,200.00","$101,000.00","$55,000.00","$74,700.00","$133,000.00","$178,000.00",One Grand Ave,CA,93407,public,San Luis Obispo,35.302376,-120.661597,905,17783,18688,2284,"Colleges, Universities, and Professional Schools",8.18213660245184,"62,096"
University of California-Los Angeles,State,"$52,600.00","$101,000.00","$51,300.00","$72,500.00","$139,000.00","$193,000.00",405 Hilgard Ave,CA,90095,public,Los Angeles,34.068892,-118.443901,1050,38800,39850,19512,"Colleges, Universities, and Professional Schools",2.042332923329233,"62,096"
University of California-San Diego,State,"$51,100.00","$101,000.00","$51,700.00","$75,400.00","$131,000.00","$177,000.00",9500 Gilman Dr,CA,92093,public,San Diego,32.876598,-117.237793,805,28760,29565,13332,"Colleges, Universities, and Professional Schools",2.217596759675968,"62,096"
University of California-Davis,State,"$52,300.00","$99,600.00","$52,000.00","$71,600.00","$135,000.00","$202,000.00",One Shields Avenue,CA,95616,public,Yolo,38.538206,-121.75103,1295,30870,32165,13051,"Colleges, Universities, and Professional Schools",2.46456210252088,"62,096"
University of Colorado-Boulder,State,"$47,100.00","$97,600.00","$51,600.00","$69,000.00","$128,000.00","$187,000.00",Regent Drive at Broadway,CO,80309,public,Boulder,40.004415,-105.267061,5722,26003,31725,7476,"Colleges, Universities, and Professional Schools",4.243579454253611,"63,803"
University of California-Irvine,State,"$48,300.00","$96,700.00","$47,800.00","$66,000.00","$123,000.00","$172,000.00",501 Aldrich Hall,CA,92697,public,Orange,33.643163,-117.837785,857,26880,27737,7926,"Colleges, Universities, and Professional Schools",3.499495331819329,"62,096"
San Jose State University,State,"$53,500.00","$95,600.00","$50,700.00","$70,500.00","$122,000.00","$156,000.00",1 Washington Sq,CA,95192,public,Santa Clara,37.337509,-121.880458,7029,23421,30450,3080,"Colleges, Universities, and Professional Schools",9.886363636363637,"62,096"
University of Maryland-College Park,State,"$52,000.00","$95,000.00","$50,400.00","$68,300.00","$126,000.00","$166,000.00",NOT AVAILABLE,MD,20742,public,Prince George's,38.988607,-76.939704,4974,32274,37248,9638,"Colleges, Universities, and Professional Schools",3.864702220377672,"74,923"
University of California-Santa Barbara,State,"$50,500.00","$95,000.00","$51,300.00","$71,200.00","$129,000.00","$173,000.00",5221 Cheadle Hall,CA,93106,public,Santa Barbara,34.412344,-119.851493,493,21602,22095,4715,"Colleges, Universities, and Professional Schools",4.686108165429481,"62,096"
University of Texas-Austin,State,"$49,700.00","$93,900.00","$50,100.00","$67,400.00","$129,000.00","$188,000.00",2400 Inner Campus Drive,TX,78712,public,Travis,30.283809,-97.736463,4196,47990,52186,20924,"Colleges, Universities, and Professional Schools",2.494073790862168,"55,205"
University of Michigan,State,"$52,700.00","$93,000.00","$50,900.00","$69,400.00","$128,000.00","$182,000.00",503 Thompson Street,MI,48109,public,Washtenaw,42.27803,-83.736564,2464,40962,43426,21160,"Colleges, Universities, and Professional Schools",2.0522684310018904,"53,134"
Stony Brook University,State,"$49,500.00","$93,000.00","$47,200.00","$67,100.00","$129,000.00","$181,000.00",310 Administration Building,NY,11794,public,Suffolk,40.91554,-73.12112,4187,19926,24113,4727,"Colleges, Universities, and Professional Schools",5.101121218531838,"56,189"
Rutgers University,State,"$50,300.00","$91,800.00","$48,100.00","$65,100.00","$128,000.00","$176,000.00","249 University Avenue, Blumenthal Hall",NJ,7102,public,Essex,40.741902,-74.174922,3891,8120,12011,1770,"Colleges, Universities, and Professional Schools",6.785875706214689,"66,838"
Purdue University,State,"$51,400.00","$90,500.00","$49,900.00","$67,400.00","$121,000.00","$168,000.00",Hovde Hall of Administration,IN,47907,public,Tippecanoe,40.428206,-86.914435,4853,35548,40401,10687,"Colleges, Universities, and Professional Schools",3.7803873865444,"50,049"
University of Connecticut,State,"$48,000.00","$88,800.00","$46,100.00","$66,400.00","$120,000.00","$162,000.00",352 Mansfield Road,CT,6269,public,Tolland,41.807658,-72.256961,3551,21932,25483,9615,"Colleges, Universities, and Professional Schools",2.6503380135205408,"71,566"
University of Massachusetts Amherst,State,"$46,600.00","$88,200.00","$43,100.00","$61,300.00","$122,000.00","$168,000.00",374 Whitmore Building 181 Presidents Drive,MA,1003,public,Hampshire,42.388647,-72.529312,5602,22634,28236,5458,"Colleges, Universities, and Professional Schools",5.173323561744229,"65,542"
California State University-Chico,State,"$47,400.00","$88,100.00","$46,800.00","$62,800.00","$122,000.00","$154,000.00",First and Normal Sts,CA,95929,public,Butte,39.728003,-121.846333,1635,14835,16470,1777,"Colleges, Universities, and Professional Schools",9.26842993809792,"62,096"
University of Wisconsin-Madison,State,"$48,900.00","$87,800.00","$47,400.00","$62,400.00","$118,000.00","$170,000.00",500 Lincoln Dr,WI,53706,public,Dane,43.073858,-89.405356,4802,37633,42435,16039,"Colleges, Universities, and Professional Schools",2.6457385123760835,"56,786"
California State University-Fullerton,State,"$45,700.00","$87,000.00","$45,400.00","$62,500.00","$119,000.00","$158,000.00",800 N State College Blvd,CA,92831,public,Orange,33.883261,-117.885659,9232,28445,37677,3294,"Colleges, Universities, and Professional Schools",11.43806921675774,"62,096"
George Mason University,State,"$47,800.00","$86,900.00","$51,300.00","$67,200.00","$114,000.00","$150,000.00",4400 University Dr,VA,22030,public,Fairfax,38.83088,-77.30794,12805,20295,33100,4908,"Colleges, Universities, and Professional Schools",6.7440912795436025,"63,858"
University of Massachusetts-Lowell,State,"$45,400.00","$86,600.00","$50,900.00","$65,000.00","$113,000.00","$158,000.00",1 University Ave,MA,1854,public,Middlesex,42.65372,-71.325081,6396,9935,16331,1859,"Colleges, Universities, and Professional Schools",8.784830554061323,"65,542"
San Francisco State University,State,"$47,300.00","$86,400.00","$45,100.00","$62,700.00","$114,000.00","$150,000.00",1600 Holloway Ave,CA,94132,public,San Francisco,37.721345,-122.477905,5531,24969,30500,3229,"Colleges, Universities, and Professional Schools",9.445648807680396,"62,096"
University of Arizona,State,"$47,500.00","$86,100.00","$44,800.00","$61,700.00","$117,000.00","$160,000.00",1401 E University,AZ,85721,public,Pima,32.232866,-110.950086,5508,34715,40223,12314,"Colleges, Universities, and Professional Schools",3.26644469709274,"50,779"
Clemson University,State,"$48,400.00","$86,000.00","$50,500.00","$61,800.00","$111,000.00","$150,000.00",201 Sikes Hall,SC,29634,public,Pickens,34.677329,-82.834463,1423,19222,20645,4565,"Colleges, Universities, and Professional Schools",4.522453450164294,"45,670"
University of Washington,State,"$48,800.00","$85,300.00","$47,000.00","$59,800.00","$115,000.00","$149,000.00",1400 NE Campus Parkway,WA,98195,public,King,47.655775,-122.310802,4856,37142,41998,18070,"Colleges, Universities, and Professional Schools",2.3241837299391257,"63,190"
Michigan State University,State,"$46,300.00","$85,300.00","$44,200.00","$61,500.00","$119,000.00","$170,000.00",NOT AVAILABLE,MI,48824,public,Ingham,42.72476,-84.473639,6230,42676,48906,11477,"Colleges, Universities, and Professional Schools",4.261218088350614,"53,134"
University of Rhode Island,State,"$43,900.00","$85,300.00","$45,400.00","$60,100.00","$112,000.00","$157,000.00","Green Hall, 35 Campus Avenue",RI,2881,public,Washington,41.489334,-71.528708,2506,13696,16202,3063,"Colleges, Universities, and Professional Schools",5.28958537381652,"57,201"
San Diego State University,State,"$46,200.00","$85,200.00","$45,500.00","$61,800.00","$116,000.00","$158,000.00",5500 Campanile Dr,CA,92182,public,San Diego,32.77525,-117.071228,5108,25735,30843,2967,"Colleges, Universities, and Professional Schools",10.395348837209305,"62,096"
Auburn University,State,"$45,400.00","$84,700.00","$45,400.00","$62,700.00","$109,000.00","$145,000.00","Auburn, Alabama",AL,36849,public,Lee,32.600201,-85.492409,4040,21094,25134,6038,"Colleges, Universities, and Professional Schools",4.162636634647234,"43,418"
Washington State University,State,"$45,300.00","$84,700.00","$43,600.00","$59,000.00","$113,000.00","$162,000.00",French Administration Building,WA,99164,public,Whitman,46.730448,-117.158168,4369,23375,27744,5957,"Colleges, Universities, and Professional Schools",4.657377874769179,"63,190"
California State University-Long Beach,State,"$45,100.00","$84,700.00","$47,400.00","$62,500.00","$113,000.00","$154,000.00",1250 Bellflower Blvd,CA,90840,public,Los Angeles,33.782818,-118.11204,7706,28566,36272,3372,"Colleges, Universities, and Professional Schools",10.75682087781732,"62,096"
Iowa State University,State,"$45,400.00","$84,600.00","$44,400.00","$60,000.00","$109,000.00","$147,000.00",3410 Beardshear Hall,IA,50011,public,Story,42.025303,-93.65024,3447,26713,30160,6282,"Colleges, Universities, and Professional Schools",4.801018783826807,"59,366"
University of Delaware,State,"$45,900.00","$84,500.00","$44,500.00","$64,000.00","$119,000.00","$165,000.00",104 Hullihen Hall,DE,19716,public,New Castle,39.678028,-75.752833,2398,19458,21856,4155,"Colleges, Universities, and Professional Schools",5.260168471720818,"57,672"
University of Colorado Denver,State,"$46,100.00","$84,400.00","$46,400.00","$58,600.00","$105,000.00","$144,000.00","1380 Lawrence Street, Lawrence Street Center, Suite 1400",CO,80217,public,Adams,39.745214,-104.839345,8268,11548,19816,8224,"Colleges, Universities, and Professional Schools",2.409533073929961,"63,803"
California State University-East Bay,State,"$49,200.00","$84,300.00","$46,000.00","$62,400.00","$115,000.00","$155,000.00",25800 Carlos Bee Blvd,CA,94542,public,Alameda,37.65707,-122.058073,2778,9992,12770,1503,"Colleges, Universities, and Professional Schools",8.496340652029275,"62,096"
SUNY College of Technology at Farmingdale,State,"$47,300.00","$84,200.00","$50,200.00","$59,800.00","$110,000.00","$162,000.00",2350 Broadhollow Road,NY,11735,public,Suffolk,40.75408,-73.426371,2122,5763,7885,1157,"Colleges, Universities, and Professional Schools",6.815038893690579,"56,189"
University of Minnesota,State,"$46,200.00","$84,200.00","$49,000.00","$63,200.00","$112,000.00","$148,000.00",100 Church Street SE,MN,55455,public,Hennepin,44.977886,-93.235352,12932,38921,51853,17490,"Colleges, Universities, and Professional Schools",2.964722698684963,"68,026"
University of California-Santa Cruz,State,"$44,700.00","$84,100.00","$46,100.00","$62,000.00","$121,000.00","$165,000.00",1156 High St,CA,95064,public,Santa Cruz,36.999018,-122.060726,358,17492,17850,3641,"Colleges, Universities, and Professional Schools",4.902499313375446,"62,096"
Ohio State University,State,"$44,900.00","$83,700.00","$45,500.00","$60,700.00","$116,000.00","$162,000.00",190 N. Oval Mall,OH,43210,public,Franklin,39.999493,-83.008792,7387,49000,56387,28018,"Colleges, Universities, and Professional Schools",2.0125276607894924,"51,501"
North Carolina State University,State,"$47,200.00","$83,300.00","$49,200.00","$64,800.00","$112,000.00","$153,000.00",2101 Hillsborough Street,NC,27695,public,Wake,35.785111,-78.674517,6134,28609,34743,8392,"Colleges, Universities, and Professional Schools",4.140014299332698,"48,818"
Oregon State University,State,"$45,100.00","$83,300.00","$46,900.00","$64,000.00","$113,000.00","$146,000.00",1500 S.W. Jefferson,OR,97331,public,Benton,44.563109,-123.278711,5121,21252,26373,5216,"Colleges, Universities, and Professional Schools",5.056173312883436,"59,888"
University of Utah,State,"$45,400.00","$83,200.00","$43,000.00","$58,400.00","$116,000.00","$148,000.00","201 Presidents Circle, ROOM 203",UT,84112,public,Salt Lake,40.762484,-111.846044,9125,23263,32388,10556,"Colleges, Universities, and Professional Schools",3.068207654414551,"64,857"
University of Nevada-Reno,State,"$46,500.00","$82,900.00","$41,900.00","$54,600.00","$113,000.00","$143,000.00",North Virginia Street,NV,89557,public,Washoe,39.543642,-119.815377,4099,13721,17820,3144,"Colleges, Universities, and Professional Schools",5.6679389312977095,"50,970"
University of Oklahoma,State,"$44,700.00","$82,900.00","$41,200.00","$60,300.00","$114,000.00","$167,000.00",660 Parrington Oval,OK,73019,public,Cleveland,35.208069,-97.445692,6165,21227,27392,5654,"Colleges, Universities, and Professional Schools",4.8447117085249385,"47,165"
University of Arkansas,State,"$44,100.00","$82,800.00","$43,200.00","$60,700.00","$113,000.00","$160,000.00",Administration Bldg 425,AR,72701,public,Washington,36.065642,-94.177852,5032,19505,24537,4848,"Colleges, Universities, and Professional Schools",5.061262376237623,"43,886"
University of Vermont,State,"$44,800.00","$82,700.00","$44,700.00","$58,000.00","$122,000.00","$194,000.00",85 S Prospect St,VT,5405,public,Chittenden,44.479262,-73.198128,1886,11250,13136,3871,"Colleges, Universities, and Professional Schools",3.393438388013433,"60,136"
University of Alabama at Huntsville,State,"$43,100.00","$82,700.00","$46,100.00","$67,800.00","$106,000.00","$132,000.00",301 Sparkman Dr,AL,35899,public,Madison,34.722818,-86.63842,2627,5009,7636,1521,"Colleges, Universities, and Professional Schools",5.020381328073635,"43,418"
California State University-Sacramento,State,"$47,800.00","$82,400.00","$42,900.00","$59,600.00","$111,000.00","$154,000.00",6000 J St,CA,95819,public,Sacramento,38.559901,-121.422416,7420,18443,25863,2520,"Colleges, Universities, and Professional Schools",10.263095238095238,"62,096"
University of Idaho,State,"$44,900.00","$82,000.00","$43,000.00","$56,700.00","$104,000.00","$142,000.00",875 Perimeter Drive,ID,83844,public,Latah,46.726894,-117.024296,3003,9490,12493,2476,"Colleges, Universities, and Professional Schools",5.045638126009693,"52,562"
University of Illinois at Chicago,State,"$47,500.00","$81,700.00","$44,700.00","$58,800.00","$110,000.00","$146,000.00",601 S Morgan,IL,60607,public,Cook,41.871837,-87.650503,4801,23074,27875,12018,"Colleges, Universities, and Professional Schools",2.319437510401065,"57,696"
Buffalo State SUNY,State,"$46,200.00","$81,700.00","$45,900.00","$61,400.00","$110,000.00","$147,000.00",1300 Elmwood Ave,NY,14222,public,Erie,42.9337,-78.880684,2634,9167,11801,1796,"Colleges, Universities, and Professional Schools",6.570712694877505,"56,189"
University of Kansas,State,"$42,400.00","$81,600.00","$44,800.00","$57,200.00","$115,000.00","$156,000.00","Strong Hall, 1450 Jayhawk Blvd, Room 230",KS,66045,public,Douglas,38.956474,-95.258651,4072,23066,27138,8311,"Colleges, Universities, and Professional Schools",3.2653110335699678,"54,185"
University of New Mexico,State,"$41,600.00","$81,600.00","$41,800.00","$59,100.00","$105,000.00","$141,000.00",1700 Lomas Blvd NE,NM,87106,public,Bernalillo,35.083868,-106.620155,7868,21232,29100,7294,"Colleges, Universities, and Professional Schools",3.989580477104469,"45,929"
University of North Carolina at Chapel Hill,State,"$42,900.00","$81,500.00","$43,400.00","$57,500.00","$117,000.00","$155,000.00",103 South Bldg Cb 9100,NC,27599,public,Orange,35.912165,-79.050969,4780,24498,29278,12151,"Colleges, Universities, and Professional Schools",2.409513620278166,"48,818"
University of California-Riverside,State,"$46,800.00","$81,300.00","$37,200.00","$59,900.00","$109,000.00","$134,000.00",900 University Ave,CA,92521,public,Riverside,33.974548,-117.328766,602,20327,20929,3754,"Colleges, Universities, and Professional Schools",5.575119872136388,"62,096"
SUNY College at Geneseo,State,"$42,300.00","$81,300.00","$39,300.00","$47,600.00","$117,000.00","$173,000.00",1 College Circle,NY,14454,public,Livingston,42.796864,-77.821999,211,5359,5570,910,"Colleges, Universities, and Professional Schools",6.12087912087912,"56,189"
University of Missouri-Columbia,State,"$41,700.00","$81,000.00","$43,500.00","$57,100.00","$111,000.00","$156,000.00",105 Jesse Hall,MO,65211,public,Boone,38.941015,-92.326429,4400,30304,34704,16631,"Colleges, Universities, and Professional Schools",2.0867055498767364,"57,946"
University of Nebraska,State,"$45,700.00","$80,900.00","$42,200.00","$56,600.00","$113,000.00","$156,000.00",6001 Dodge St,NE,68182,public,Douglas,41.257946,-96.009741,4857,9929,14786,1873,"Colleges, Universities, and Professional Schools",7.89428723972237,"58,705"
University of Texas at Arlington,State,"$45,400.00","$80,800.00","$46,400.00","$61,200.00","$106,000.00","$138,000.00",701 S. Nedderman Dr.,TX,76013,public,Tarrant,32.729194,-97.115173,13922,19313,33235,4623,"Colleges, Universities, and Professional Schools",7.189054726368159,"55,205"
Northern Illinois University,State,"$43,600.00","$80,800.00","$43,900.00","$60,200.00","$111,000.00","$161,000.00",1425 W. Lincoln Hwy.,IL,60115,public,DeKalb,41.933791,-88.766065,5155,16714,21869,3796,"Colleges, Universities, and Professional Schools",5.761064278187566,"57,696"
Oklahoma State University,State,"$42,800.00","$80,700.00","$40,100.00","$56,500.00","$114,000.00","$151,000.00",107 Whitehurst,OK,74078,public,Payne,36.123085,-97.069743,5730,19596,25326,5983,"Colleges, Universities, and Professional Schools",4.232993481531005,"47,165"
University of North Dakota,State,"$44,000.00","$80,600.00","$43,400.00","$56,400.00","$111,000.00","$157,000.00","264 Centennial Drive, Stop 8193",ND,58202,public,Grand Forks,47.921654,-97.071738,3868,11382,15250,2817,"Colleges, Universities, and Professional Schools",5.413560525381612,"59,108"
California State University-Northridge,State,"$45,500.00","$80,400.00","$44,500.00","$57,800.00","$108,000.00","$153,000.00",18111 Nordhoff St,CA,91330,public,Los Angeles,34.240041,-118.529286,8261,27903,36164,3429,"Colleges, Universities, and Professional Schools",10.546515018955963,"62,096"
